time, velocity
0,0.0
15,6.066667
20,42.733333
25,98.333333
30,138.133333
35,137.933333
40,111.533333
45,129.000000
50,152.066667
55,161.466667
60,177.600000
65,185.666667
70,190.400000
75,195.933333
80,194.800000
85,203.533333
90,208.600000
95,216.333333
100,215.733333
105,214.600000
110,214.466667
115,209.800000
120,188.800000
125,193.400000
130,197.466667
135,197.400000
140,201.600000
145,201.000000
150,198.266667
155,204.000000
160,204.266667
165,193.400000
170,200.733333
175,206.266667
180,200.800000
185,202.466667
190,202.200000
195,199.600000
200,198.800000
205,197.133333
210,186.800000
215,199.466667
220,208.200000
225,204.000000
230,203.600000
235,204.533333
240,201.933333
245,202.933333
250,202.000000
255,189.466667
260,200.333333
265,208.266667
270,204.133333
275,200.533333
280,198.466667
285,198.533333
290,197.400000
295,198.200000
300,195.866667
305,197.533333
310,203.200000
315,203.200000
320,211.000000
325,207.133333
330,203.466667
335,197.333333
340,199.733333
345,187.933333
350,197.666667
355,201.600000
360,196.800000
365,199.466667
370,199.133333
375,201.266667
380,198.800000
385,204.200000
390,202.800000
395,204.666667
400,202.933333
405,202.400000
410,200.200000
415,201.600000
420,194.733333
425,193.200000
430,194.200000
435,191.666667
440,197.866667
445,201.866667
450,194.200000
455,186.600000
460,203.133333
465,211.800000
470,204.133333
475,199.333333
480,185.466667
485,197.466667
490,205.733333
495,200.733333
500,201.800000
505,195.466667
510,198.200000
515,200.600000
520,199.466667
525,199.333333
530,202.666667
535,204.866667
540,205.333333
545,205.200000
550,199.133333
555,202.133333
560,201.000000
565,200.000000
570,195.533333
575,199.400000
580,201.866667
585,198.733333
590,199.200000
595,199.000000
600,199.133333
605,198.600000
610,201.933333
615,200.933333
620,202.200000
625,206.933333
630,204.466667
635,203.333333
640,199.133333
645,197.466667
650,195.666667
655,197.800000
660,194.533333
665,196.066667
670,196.866667
675,197.800000
680,198.066667
685,199.466667
690,202.266667
695,201.866667
